sku,oemNumber,name,fits,make,model,yearFrom,yearTo,costPrice,retailPrice,qty,supplier
OA-OF-POLO,03C115561H,Oil filter,Volkswagen Polo|Volkswagen Polo Vivo|Hyundai i20,Volkswagen,Polo,2018,2024,95,189,24,Local OEM
BR-PAD-HILUX,04465-0K290,Front brake pads — Hilux GD-6,Toyota Hilux,Toyota,Hilux,2016,2026,780,1450,8,Toyota Genuine
BAT-60AH,YUASA-60,60Ah maintenance-free battery,Volkswagen Polo|Hyundai i20|Toyota Hilux|Ford Ranger,Universal,Battery,2010,2026,1100,1899,5,Yuasa
WIP-SET-UNI,BOSCH-A5545,Wiper blade set universal 55/45cm,Most hatchbacks|Volkswagen Polo|Hyundai i20,Universal,Wiper,2010,2026,140,320,15,Bosch Dist
OA-OF-HILUX,90915-YZZD4,Oil filter — Hilux GD-6 / Fortuner,Toyota Hilux|Toyota Fortuner,Toyota,Hilux,2016,2026,118,229,30,Toyota Genuine
OA-OF-COROL,90915-YZZE2,Oil filter — Corolla / Cross,Toyota Corolla|Toyota Corolla Cross,Toyota,Corolla,2014,2026,88,179,22,Toyota Genuine
OA-OF-QUANT,90915-YZZF1,Oil filter — Quantum 2.7 / 2.5D,Toyota Quantum,Toyota,Quantum,2010,2026,125,249,12,Toyota Genuine
OA-OF-STARL,04152-0D070,Oil filter — Starlet / Etios,Toyota Starlet|Toyota Etios,Toyota,Starlet,2018,2026,72,149,14,Toyota Genuine
OA-OF-VIVO,03C115561B,Oil filter — Polo Vivo 1.4 / 1.6,Volkswagen Polo Vivo,Volkswagen,Polo Vivo,2018,2024,90,179,20,Mann Filter
OA-OF-GOLF,04E115561H,Oil filter — Golf 7 / 8 1.4 TSI,Volkswagen Golf,Volkswagen,Golf,2013,2026,110,219,10,Mann Filter
OA-OF-TIG,04E115561A,Oil filter — Tiguan 1.4 TSI,Volkswagen Tiguan,Volkswagen,Tiguan,2017,2026,118,235,8,Mann Filter
OA-OF-AMRK,03N115562,Oil filter — Amarok 2.0 TDI,Volkswagen Amarok,Volkswagen,Amarok,2011,2022,145,289,6,Mann Filter
OA-OF-I20,26320-2B000,Oil filter — i20 / Grand i10,Hyundai i20|Hyundai Grand i10,Hyundai,i20,2015,2026,78,159,18,Hyundai Mobis
OA-OF-I10,26320-03001,Oil filter — i10,Hyundai i10,Hyundai,i10,2014,2026,68,139,10,Hyundai Mobis
OA-OF-TUC,26320-2A000,Oil filter — Tucson / Sportage,Hyundai Tucson|Kia Sportage,Hyundai,Tucson,2016,2026,105,209,8,Hyundai Mobis
OA-OF-CRETA,26320-2E000,Oil filter — Creta / Seltos,Hyundai Creta|Kia Seltos,Hyundai,Creta,2017,2026,92,185,8,Hyundai Mobis
OA-OF-RANG,AB39-6714-AA,Oil filter — Ranger 2.0 / 2.2,Ford Ranger|Ford Everest,Ford,Ranger,2012,2026,135,269,20,Motorcraft
OA-OF-FIGO,C1BZ-6731-A,Oil filter — Figo / EcoSport,Ford Figo|Ford EcoSport,Ford,Figo,2015,2024,70,145,12,Motorcraft
OA-OF-NP200,15208-65F0C,Oil filter — NP200 1.6,Nissan NP200,Nissan,NP200,2009,2022,65,135,16,Nissan Genuine
OA-OF-NAVAR,15208-EB70A,Oil filter — Navara 2.3 / 2.5,Nissan Navara,Nissan,Navara,2015,2026,128,255,8,Nissan Genuine
OA-OF-DMAX,8-94445-470-1,Oil filter — D-Max 1.9 / 3.0,Isuzu D-Max|Isuzu KB,Isuzu,D-Max,2013,2026,122,245,14,Isuzu Genuine
OA-OF-SWIFT,16510-84A10,Oil filter — Swift / Baleno,Suzuki Swift|Suzuki Baleno,Suzuki,Swift,2018,2026,75,155,12,Suzuki Genuine
OA-OF-PICA,26320-1Y000,Oil filter — Picanto / Rio,Kia Picanto|Kia Rio,Kia,Picanto,2017,2026,68,139,12,Kia Genuine
OA-OF-JAZZ,15400-PLM-A02,Oil filter — Jazz / Ballade,Honda Jazz|Honda Ballade,Honda,Jazz,2014,2026,95,189,8,Honda Genuine
OA-OF-CX5,PE01-14-302,Oil filter — CX-5 / Mazda3,Mazda CX-5|Mazda Mazda3,Mazda,CX-5,2017,2026,108,215,6,Mazda Genuine
OA-OF-KWID,15208-64J0A,Oil filter — Kwid / Triber,Renault Kwid|Renault Triber,Renault,Kwid,2016,2026,62,129,10,Renault Genuine
OA-OF-DUST,15208-8463R,Oil filter — Duster 1.5 dCi,Renault Duster,Renault,Duster,2018,2026,98,195,6,Renault Genuine
OA-OF-C200,A2711800009,Oil filter — C-Class W205,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,2015,2021,210,399,4,Mercedes Genuine
OA-OF-E90,11427512300,Oil filter — 3 Series F30,BMW 3 Series,BMW,3 Series,2012,2019,195,379,4,BMW Genuine
OA-OF-TRIT,1230A184,Oil filter — Triton 2.4,Mitsubishi Triton,Mitsubishi,Triton,2015,2026,115,229,6,Mitsubishi Genuine
OA-OF-JIMNY,16510-80J00,Oil filter — Jimny 1.5,Suzuki Jimny,Suzuki,Jimny,2019,2026,82,165,6,Suzuki Genuine
OA-AF-HILUX,17801-0L040,Air filter — Hilux / Fortuner,Toyota Hilux|Toyota Fortuner,Toyota,Hilux,2016,2026,185,349,16,Toyota Genuine
OA-AF-COROL,17801-21050,Air filter — Corolla,Toyota Corolla,Toyota,Corolla,2014,2019,145,279,10,Toyota Genuine
OA-AF-POLO,6R0129620,Air filter — Polo / Polo Vivo,Volkswagen Polo|Volkswagen Polo Vivo,Volkswagen,Polo,2010,2024,135,265,14,Mann Filter
OA-AF-I20,28113-1R000,Air filter — i20,Hyundai i20,Hyundai,i20,2015,2026,120,239,10,Hyundai Mobis
OA-AF-RANG,AB39-9601-AB,Air filter — Ranger 2.2 / 3.2,Ford Ranger,Ford,Ranger,2012,2022,210,399,12,Motorcraft
OA-AF-NP200,16546-00Q0A,Air filter — NP200,Nissan NP200,Nissan,NP200,2009,2022,95,189,10,Nissan Genuine
OA-AF-DMAX,8-97361-680-1,Air filter — D-Max,Isuzu D-Max,Isuzu,D-Max,2013,2026,175,339,8,Isuzu Genuine
OA-AF-SWIFT,13780-80J00,Air filter — Swift,Suzuki Swift,Suzuki,Swift,2018,2026,98,195,8,Suzuki Genuine
OA-AF-GOLF,5Q0129620B,Air filter — Golf 7,Volkswagen Golf,Volkswagen,Golf,2013,2020,155,299,6,Mann Filter
OA-AF-QUANT,17801-75020,Air filter — Quantum,Toyota Quantum,Toyota,Quantum,2010,2026,165,319,6,Toyota Genuine
OA-CF-HILUX,87139-0K090,Cabin filter — Hilux / Fortuner,Toyota Hilux|Toyota Fortuner,Toyota,Hilux,2016,2026,145,289,12,Toyota Genuine
OA-CF-POLO,6R0819653,Cabin filter — Polo / Vivo,Volkswagen Polo|Volkswagen Polo Vivo,Volkswagen,Polo,2010,2024,110,219,14,Mann Filter
OA-CF-I20,97133-1R000,Cabin filter — i20 / i10,Hyundai i20|Hyundai i10,Hyundai,i20,2015,2026,95,189,10,Hyundai Mobis
OA-CF-RANG,AB39-19N619-AA,Cabin filter — Ranger / Everest,Ford Ranger|Ford Everest,Ford,Ranger,2012,2026,155,299,10,Motorcraft
OA-CF-COROL,87139-02150,Cabin filter — Corolla,Toyota Corolla,Toyota,Corolla,2014,2026,125,249,8,Toyota Genuine
OA-CF-UNI,CUK26009,Cabin filter — universal carbon,Most hatchbacks|Most sedans,Universal,Cabin,2010,2026,85,175,20,Mann Filter
OA-FF-HILUX,23390-0L090,Fuel filter — Hilux GD-6 diesel,Toyota Hilux|Toyota Fortuner,Toyota,Hilux,2016,2026,245,469,10,Toyota Genuine
OA-FF-RANG,AB39-9155-AC,Fuel filter — Ranger diesel,Ford Ranger|Ford Everest,Ford,Ranger,2012,2026,265,499,8,Motorcraft
OA-FF-DMAX,8-98171-558-0,Fuel filter — D-Max diesel,Isuzu D-Max,Isuzu,D-Max,2013,2026,255,489,8,Isuzu Genuine
OA-FF-AMRK,2E0127401C,Fuel filter — Amarok 2.0 TDI,Volkswagen Amarok,Volkswagen,Amarok,2011,2022,280,529,4,Mann Filter
OA-FF-NP200,16400-00Q0B,Fuel filter — NP200,Nissan NP200,Nissan,NP200,2009,2022,95,189,8,Nissan Genuine
OA-FF-NAVAR,16400-EB70A,Fuel filter — Navara diesel,Nissan Navara,Nissan,Navara,2015,2026,275,519,4,Nissan Genuine
BR-PAD-HILUX-R,04466-0K290,Rear brake pads — Hilux GD-6,Toyota Hilux,Toyota,Hilux,2016,2026,620,1199,6,Toyota Genuine
BR-PAD-FORT,04465-0K280,Front brake pads — Fortuner,Toyota Fortuner,Toyota,Fortuner,2016,2026,820,1550,5,Toyota Genuine
BR-PAD-COROL,04465-02280,Front brake pads — Corolla,Toyota Corolla,Toyota,Corolla,2014,2019,480,899,8,Toyota Genuine
BR-PAD-POLO,1K0698151,Front brake pads — Polo / Vivo,Volkswagen Polo|Volkswagen Polo Vivo,Volkswagen,Polo,2010,2024,420,799,12,ATE
BR-PAD-POLO-R,6R0698451,Rear brake pads — Polo,Volkswagen Polo,Volkswagen,Polo,2010,2024,380,729,8,ATE
BR-PAD-GOLF,5Q0698151,Front brake pads — Golf 7,Volkswagen Golf,Volkswagen,Golf,2013,2020,520,989,6,ATE
BR-PAD-I20,58101-1R000,Front brake pads — i20,Hyundai i20,Hyundai,i20,2015,2026,390,749,10,Hyundai Mobis
BR-PAD-RANG,FB3Z-2001-A,Front brake pads — Ranger,Ford Ranger,Ford,Ranger,2012,2026,680,1299,8,Motorcraft
BR-PAD-RANG-R,FB3Z-2200-A,Rear brake pads — Ranger,Ford Ranger,Ford,Ranger,2012,2026,540,1049,6,Motorcraft
BR-PAD-NP200,41060-00Q0A,Front brake pads — NP200,Nissan NP200,Nissan,NP200,2009,2022,310,599,10,Nissan Genuine
BR-PAD-DMAX,8-98016-080-1,Front brake pads — D-Max,Isuzu D-Max,Isuzu,D-Max,2013,2026,650,1249,6,Isuzu Genuine
BR-PAD-SWIFT,55810-68L00,Front brake pads — Swift,Suzuki Swift,Suzuki,Swift,2018,2026,360,699,8,Suzuki Genuine
BR-PAD-PICA,58101-1Y000,Front brake pads — Picanto,Kia Picanto,Kia,Picanto,2017,2026,290,559,8,Kia Genuine
BR-PAD-TUC,58101-D3000,Front brake pads — Tucson,Hyundai Tucson,Hyundai,Tucson,2016,2026,560,1079,5,Hyundai Mobis
BR-PAD-CX5,G26Y-33-28Z,Front brake pads — CX-5,Mazda CX-5,Mazda,CX-5,2017,2026,590,1129,4,Mazda Genuine
BR-PAD-C200,A0004209000,Front brake pads — C-Class,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,2015,2021,980,1899,3,Mercedes Genuine
BR-PAD-E90,34116792209,Front brake pads — 3 Series,BMW 3 Series,BMW,3 Series,2012,2019,890,1699,3,BMW Genuine
BR-DSC-HILUX,43512-0K080,Front brake disc — Hilux (each),Toyota Hilux,Toyota,Hilux,2016,2026,620,1199,8,Toyota Genuine
BR-DSC-POLO,6R0615301,Front brake disc — Polo (each),Volkswagen Polo,Volkswagen,Polo,2010,2024,380,749,10,ATE
BR-DSC-RANG,EB3Z-1102-A,Front brake disc — Ranger (each),Ford Ranger,Ford,Ranger,2012,2026,680,1299,6,Motorcraft
BR-DSC-I20,51712-1R000,Front brake disc — i20 (each),Hyundai i20,Hyundai,i20,2015,2026,320,629,8,Hyundai Mobis
BR-DSC-DMAX,8-97318-215-1,Front brake disc — D-Max (each),Isuzu D-Max,Isuzu,D-Max,2013,2026,590,1129,4,Isuzu Genuine
BR-DSC-COROL,43512-02140,Front brake disc — Corolla (each),Toyota Corolla,Toyota,Corolla,2014,2019,350,689,6,Toyota Genuine
BR-SHO-NP200,44060-00Q0A,Rear brake shoes — NP200,Nissan NP200,Nissan,NP200,2009,2022,280,549,6,Nissan Genuine
BR-SHO-PICA,58305-1Y000,Rear brake shoes — Picanto,Kia Picanto,Kia,Picanto,2017,2026,240,479,6,Kia Genuine
BR-FLD-DOT4,DOT4-500,Brake fluid DOT4 500ml,All vehicles,Universal,Brake fluid,2010,2026,45,89,40,ATE
BR-FLD-DOT4L,DOT4-1L,Brake fluid DOT4 1L,All vehicles,Universal,Brake fluid,2010,2026,78,149,24,ATE
BR-HBC-HILUX,46410-0K070,Handbrake cable — Hilux,Toyota Hilux,Toyota,Hilux,2016,2026,320,619,4,Toyota Genuine
BR-CAL-POLO,6R0615124,Front caliper rebuilt — Polo,Volkswagen Polo,Volkswagen,Polo,2010,2024,850,1599,2,ATE
BAT-45AH,YUASA-45,45Ah battery — city hatch,Kia Picanto|Hyundai i10|Renault Kwid|Suzuki Swift,Universal,Battery,2010,2026,820,1499,6,Yuasa
BAT-55AH,YUASA-55,55Ah battery — Polo / i20 / Figo,Volkswagen Polo|Hyundai i20|Ford Figo,Universal,Battery,2010,2026,980,1749,6,Yuasa
BAT-70AH,YUASA-70,70Ah battery — Corolla / Golf / Tucson,Toyota Corolla|Volkswagen Golf|Hyundai Tucson,Universal,Battery,2010,2026,1280,2199,4,Yuasa
BAT-90AH,YUASA-90,90Ah battery — bakkie / SUV,Toyota Hilux|Ford Ranger|Isuzu D-Max|Toyota Fortuner,Universal,Battery,2010,2026,1680,2899,4,Yuasa
BAT-100AH,YUASA-100,100Ah dual-purpose bakkie battery,Toyota Hilux|Ford Ranger|Volkswagen Amarok,Universal,Battery,2010,2026,1980,3399,3,Yuasa
BAT-AGM70,VARTA-AGM70,70Ah AGM start-stop battery,Volkswagen Golf|BMW 3 Series|Mercedes-Benz C-Class,Universal,Battery,2015,2026,2450,4199,2,Varta
WIP-HILUX,85212-0K090,Wiper blade set — Hilux / Fortuner,Toyota Hilux|Toyota Fortuner,Toyota,Hilux,2016,2026,210,399,8,Bosch Dist
WIP-POLO,6R1955425,Wiper blade set — Polo / Vivo,Volkswagen Polo|Volkswagen Polo Vivo,Volkswagen,Polo,2010,2024,165,319,10,Bosch Dist
WIP-RANG,AB39-17528-AA,Wiper blade set — Ranger,Ford Ranger,Ford,Ranger,2012,2026,195,379,6,Bosch Dist
WIP-I20,98350-1R000,Wiper blade set — i20,Hyundai i20,Hyundai,i20,2015,2026,145,289,8,Bosch Dist
WIP-REAR-UNI,H406,Rear wiper blade universal 14in,Most hatchbacks|Hyundai i20|Volkswagen Polo|Suzuki Swift,Universal,Wiper,2010,2026,55,119,20,Bosch Dist
WIP-24,AEROTWIN-24,Wiper blade 24 inch (each),Most sedans|Toyota Corolla,Universal,Wiper,2010,2026,95,189,12,Bosch Dist
OIL-5W30-5L,CAST-5W30-5,Engine oil 5W-30 synthetic 5L,Most petrol hatches|Volkswagen Polo|Hyundai i20|Toyota Corolla,Universal,Oil,2010,2026,320,579,18,Castrol
OIL-5W40-5L,CAST-5W40-5,Engine oil 5W-40 synthetic 5L,Most petrol / light diesel|Ford Ranger|Volkswagen Golf,Universal,Oil,2010,2026,345,619,16,Castrol
OIL-10W40-5L,CAST-10W40-5,Engine oil 10W-40 semi-synth 5L,Older petrol|Nissan NP200|Toyota Quantum,Universal,Oil,2005,2026,245,449,14,Castrol
OIL-5W30-D5,TOTAL-5W30D-5,Diesel oil 5W-30 C3 5L,Toyota Hilux|Isuzu D-Max|Ford Ranger,Universal,Oil,2012,2026,380,699,12,Total
OIL-15W40-5L,CAST-15W40-5,Engine oil 15W-40 mineral 5L,Commercial / Quantum / NP200,Universal,Oil,2000,2026,195,359,10,Castrol
OIL-ATF-1L,DEX3-1L,ATF Dexron III 1L,Most automatics,Universal,ATF,2010,2026,85,169,20,Castrol
OIL-ATF-CVT,CVT-1L,CVT fluid 1L,Toyota Corolla|Honda Jazz|Nissan Almera,Universal,ATF,2014,2026,145,279,8,Toyota Genuine
OIL-GEAR-75,75W90-1L,Gear oil 75W-90 1L,Manual gearboxes|Nissan NP200|Suzuki Swift,Universal,Gear oil,2010,2026,95,189,12,Castrol
OIL-DIFF-80,80W90-1L,Diff oil 80W-90 1L,Toyota Hilux|Ford Ranger|Isuzu D-Max,Universal,Diff oil,2010,2026,78,155,12,Castrol
OIL-COOL-5L,G12-5L,Coolant concentrate G12 5L,Most vehicles,Universal,Coolant,2010,2026,165,319,16,Total
OIL-COOL-1L,G12-1L,Coolant concentrate G12 1L,Most vehicles,Universal,Coolant,2010,2026,48,95,24,Total
OIL-PS-1L,CHF11S-1L,Power steering fluid 1L,Most hydraulics,Universal,PS fluid,2010,2026,85,169,10,Pentosin
OIL-ADBLUE,ADBLUE-10L,AdBlue DEF 10L,Modern diesels|Ford Ranger|Volkswagen Amarok,Universal,AdBlue,2016,2026,145,279,8,Total
OIL-WASH-5L,WASH-5L,Screenwash concentrate 5L,All vehicles,Universal,Screenwash,2010,2026,55,109,20,Local OEM
OIL-2T-1L,2T-1L,2-stroke oil 1L (small engines),Workshop / generators,Universal,2-stroke,2010,2026,65,129,6,Castrol
PLG-HILUX,FK20HR11,Spark plug set — Hilux petrol 2.7 (4),Toyota Hilux,Toyota,Hilux,2016,2026,280,549,6,NGK
PLG-POLO,04C905601,Spark plug set — Polo 1.0 TSI (3),Volkswagen Polo,Volkswagen,Polo,2018,2024,320,619,6,NGK
PLG-VIVO,101905601,Spark plug set — Polo Vivo 1.4 (4),Volkswagen Polo Vivo,Volkswagen,Polo Vivo,2018,2024,180,359,8,NGK
PLG-I20,18844-11061,Spark plug set — i20 1.2 (4),Hyundai i20,Hyundai,i20,2015,2026,165,329,8,NGK
PLG-COROL,90919-01253,Spark plug set — Corolla 1.6 / 1.8 (4),Toyota Corolla,Toyota,Corolla,2014,2019,195,389,8,Denso
PLG-SWIFT,09482-00584,Spark plug set — Swift 1.2 (4),Suzuki Swift,Suzuki,Swift,2018,2026,155,309,6,NGK
PLG-PICA,18844-11051,Spark plug set — Picanto 1.0 (3),Kia Picanto,Kia,Picanto,2017,2026,140,279,6,NGK
